deal_no,sales_rep_id,client_id,product_ref,inco_code,status_code,date_created,quote_due_date,quote_submitted_date,date_closed,sales_total,cost_of_sales,gross_profit,finance_cost,profit_after_fc,gross_profit_pct,profit_after_fc_pct
ZAM25014,SR004,ZAM001,PRD001,EXW,WON,2025-01-21,2025-01-26,2025-01-27,2025-02-03,25365540.75,22723475.72,2642065.03,378658.56,2263406.47,0.1042,0.0892
BEI25015,SR001,BEI001,PRD005,EXW,WON,2025-01-25,2025-01-31,2025-01-31,2025-02-01,10133393.03,7564134.46,2569258.57,141112.83,2428145.74,0.2535,0.2396
BUL25016,SR002,BUL001,PRD003,EXW,WON,2025-01-12,2025-01-16,2025-01-18,2025-01-24,39869235.17,28001314.65,11867920.52,570823.34,11297097.18,0.2977,0.2834
AFR25017,SR002,AFR001,PRD004,FCA,QUOTE,2025-01-10,2025-01-17,2025-01-20,,4082686.38,3163447.85,919238.53,61039.55,858198.98,0.2252,0.2102
ZAM25018,SR003,ZAM001,PRD001,FOB,QUOTE,2024-12-11,2024-12-15,2024-12-16,,22172269.39,16649142.19,5523127.2,321798.77,5201328.43,0.2491,0.2346
AFR25019,SR005,AFR001,PRD004,DAP,LOST,2025-01-25,2025-01-27,2025-01-26,2025-02-02,7747435.38,6069256.7,1678178.68,53939.93,1624238.75,0.2166,0.2096
AFR25020,SR002,AFR001,PRD006,EXW,QUOTE,2024-12-29,2025-01-04,2025-01-03,,8617359.63,7520842.89,1096516.74,62353.61,1034163.13,0.1272,0.12
BEI25021,SR003,BEI001,PRD005,FCA,WON,2024-12-10,2024-12-12,2024-12-13,2024-12-19,33958432.19,31077930.1,2880502.09,627683.23,2252818.86,0.0848,0.0663
LUB25022,SR001,LUB001,PRD002,DAP,STAGE,2024-12-28,2025-01-04,2025-01-04,,12593658.44,9155890.76,3437767.68,227724.85,3210042.83,0.273,0.2549
KIT25023,SR002,KIT001,PRD002,EXW,WON,2025-01-23,2025-01-26,2025-01-26,2025-01-27,15575747.32,11987885.84,3587861.48,94097.94,3493763.54,0.2303,0.2243
AFR25024,SR001,AFR001,PRD001,FCA,WON,2025-01-17,2025-01-21,2025-01-23,2025-02-02,11668780.69,10792177.35,876603.34,91613.72,784989.62,0.0751,0.0673
KMC25025,SR006,KMC001,PRD003,FCA,WON,2024-12-28,2025-01-01,2025-01-03,2025-01-08,8801285.34,7623958.16,1177327.18,94060.91,1083266.27,0.1338,0.1231
KIT25026,SR006,KIT001,PRD002,FCA,WON,2025-01-28,2025-02-04,2025-02-04,2025-02-06,11513263.53,9841712.68,1671550.85,73694.19,1597856.66,0.1452,0.1388
KIT25027,SR004,KIT001,PRD006,FCA,WON,2025-01-15,2025-01-20,2025-01-22,2025-01-29,10259405.69,7195805.62,3063600.07,166863.77,2896736.3,0.2986,0.2823
KIT25028,SR006,KIT001,PRD005,FCA,QUOTE,2025-01-31,2025-02-05,2025-02-08,,34132699.22,27534342.93,6598356.29,634964.49,5963391.8,0.1933,0.1747
KIT25029,SR002,KIT001,PRD006,EXW,WON,2025-01-19,2025-01-22,2025-01-23,2025-02-01,8831103.68,7152912.7,1678190.98,138676.35,1539514.63,0.19,0.1743
DRX25030,SR001,DRX001,PRD004,EXW,WON,2024-12-31,2025-01-05,2025-01-04,2025-01-08,18780776.62,16760884.24,2019892.38,360420.58,1659471.8,0.1076,0.0884
DRX25031,SR004,DRX001,PRD002,DAP,WON,2024-12-03,2024-12-08,2024-12-09,2024-12-16,29333021.56,27276348.64,2056672.92,578178.19,1478494.73,0.0701,0.0504
LUB25032,SR003,LUB001,PRD002,EXW,WON,2025-01-19,2025-01-24,2025-01-25,2025-02-01,3457344.33,2436894.71,1020449.62,45261.08,975188.54,0.2952,0.2821
DRX25033,SR002,DRX001,PRD004,FOB,QUOTE,2024-12-15,2024-12-20,2024-12-21,,10898626.11,9283579.13,1615046.98,176763.56,1438283.42,0.1482,0.132
KMC25034,SR002,KMC001,PRD003,FOB,QUOTE,2025-01-30,2025-02-03,2025-02-06,,30819524.64,24629842.58,6189682.06,484643.82,5705038.24,0.2008,0.1851
KMC25035,SR005,KMC001,PRD006,CIF,WON,2025-01-20,2025-01-24,2025-01-27,2025-01-29,23454898.78,16659247.22,6795651.56,304706.78,6490944.78,0.2897,0.2767
ZAM25036,SR004,ZAM001,PRD002,FCA,LOST,2024-12-19,2024-12-25,2024-12-28,2025-01-05,19939757.26,16911280.1,3028477.16,196098.91,2832378.25,0.1519,0.142
DRX25037,SR001,DRX001,PRD003,EXW,WON,2024-12-31,2025-01-06,2025-01-09,2025-01-16,10486379.07,8192520.79,2293858.28,129121.4,2164736.88,0.2187,0.2064
LUB25038,SR004,LUB001,PRD005,CIF,QUOTE,2025-01-12,2025-01-19,2025-01-21,,4100660.09,3172102.09,928558.0,45377.97,883180.03,0.2264,0.2154
DRX25039,SR003,DRX001,PRD006,FCA,WON,2025-01-06,2025-01-12,2025-01-13,2025-01-20,28054257.5,22105426.03,5948831.47,331213.58,5617617.89,0.212,0.2002
KIT25040,SR003,KIT001,PRD006,FCA,LOST,2025-01-04,2025-01-10,2025-01-11,2025-01-13,15806048.95,12490260.23,3315788.72,150695.09,3165093.63,0.2098,0.2002
ZAM25041,SR003,ZAM001,PRD001,FOB,QUOTE,2025-01-15,2025-01-18,2025-01-20,,1530928.79,1180475.97,350452.82,18647.8,331805.02,0.2289,0.2167
BUL25042,SR002,BUL001,PRD001,DAP,LOST,2025-01-01,2025-01-03,2025-01-02,2025-01-09,15809619.32,13779865.84,2029753.48,115029.29,1914724.19,0.1284,0.1211
AFR25043,SR001,AFR001,PRD002,FOB,QUOTE,2024-12-28,2025-01-03,2025-01-06,,12956853.51,10762521.4,2194332.11,152343.02,2041989.09,0.1694,0.1576
KIT25044,SR003,KIT001,PRD005,EXW,WON,2025-01-10,2025-01-12,2025-01-15,2025-01-17,14570738.69,10968215.33,3602523.36,217197.58,3385325.78,0.2472,0.2323
DRX25045,SR003,DRX001,PRD006,DAP,QUOTE,2024-12-31,2025-01-02,2025-01-02,,34506806.41,29546953.4,4959853.01,514763.76,4445089.25,0.1437,0.1288
DRX25046,SR004,DRX001,PRD001,FCA,WON,2024-12-11,2024-12-15,2024-12-15,2024-12-17,5720303.85,4855170.87,865132.98,99325.09,765807.89,0.1512,0.1339
KIT25047,SR004,KIT001,PRD001,FCA,WON,2024-12-29,2025-01-05,2025-01-06,2025-01-16,3554163.75,3342612.02,211551.73,62337.83,149213.9,0.0595,0.042
LUB25048,SR006,LUB001,PRD004,FOB,WON,2024-12-28,2025-01-01,2025-01-02,2025-01-04,17323780.82,15130909.25,2192871.57,161514.23,2031357.34,0.1266,0.1173
KIT25049,SR004,KIT001,PRD001,CIF,WON,2025-01-10,2025-01-15,2025-01-17,2025-01-18,7956780.4,7415068.39,541712.01,92073.81,449638.2,0.0681,0.0565
KMC25050,SR004,KMC001,PRD001,CIF,WON,2025-01-16,2025-01-20,2025-01-23,2025-01-28,12129927.85,9922947.47,2206980.38,143761.44,2063218.94,0.1819,0.1701
AFR25051,SR001,AFR001,PRD003,DAP,STAGE,2025-01-08,2025-01-15,2025-01-17,,21305382.11,17493537.05,3811845.06,212768.31,3599076.75,0.1789,0.1689
LUB25052,SR004,LUB001,PRD003,CIF,LOST,2024-12-17,2024-12-23,2024-12-25,2024-12-29,19935966.6,15540964.78,4395001.82,241118.41,4153883.41,0.2205,0.2084
LUB25053,SR004,LUB001,PRD006,CIF,WON,2024-12-04,2024-12-07,2024-12-10,2024-12-20,4491898.94,4093287.18,398611.76,29177.92,369433.84,0.0887,0.0822
LUB25054,SR006,LUB001,PRD001,DAP,STAGE,2025-01-25,2025-01-31,2025-02-02,,29725258.75,27402517.24,2322741.51,366191.77,1956549.74,0.0781,0.0658
BEI25055,SR005,BEI001,PRD001,CIF,QUOTE,2025-01-29,2025-02-02,2025-02-02,,18355607.35,13300670.99,5054936.36,266270.43,4788665.93,0.2754,0.2609
KMC25056,SR004,KMC001,PRD002,DAP,LOST,2024-12-04,2024-12-08,2024-12-07,2024-12-12,9995211.12,7606849.01,2388362.11,111754.22,2276607.89,0.239,0.2278
ZAM25057,SR002,ZAM001,PRD002,FOB,QUOTE,2024-12-26,2025-01-01,2025-01-01,,16090957.68,12197703.98,3893253.7,234422.23,3658831.47,0.242,0.2274
KIT25058,SR003,KIT001,PRD006,FOB,STAGE,2024-12-31,2025-01-04,2025-01-07,,5827982.77,4583075.57,1244907.2,80505.28,1164401.92,0.2136,0.1998
LUB25059,SR006,LUB001,PRD003,EXW,STAGE,2024-12-14,2024-12-19,2024-12-21,,4272764.68,3374372.28,898392.4,40326.72,858065.68,0.2103,0.2008
AFR25060,SR001,AFR001,PRD006,EXW,WON,2025-01-07,2025-01-14,2025-01-13,2025-01-23,29848589.96,27631846.51,2216743.45,496564.57,1720178.88,0.0743,0.0576
BEI25061,SR003,BEI001,PRD004,FOB,QUOTE,2025-01-17,2025-01-20,2025-01-19,,18145441.57,14586680.87,3558760.7,145379.86,3413380.84,0.1961,0.1881
BUL25062,SR005,BUL001,PRD005,DAP,STAGE,2024-12-18,2024-12-23,2024-12-24,,15593855.42,11364683.74,4229171.68,303197.56,3925974.12,0.2712,0.2518
ZAM25063,SR002,ZAM001,PRD006,EXW,LOST,2025-01-22,2025-01-28,2025-01-29,2025-01-31,6510724.74,5430875.97,1079848.77,76968.42,1002880.35,0.1659,0.154
AFR25064,SR005,AFR001,PRD004,DAP,WON,2024-12-16,2024-12-21,2024-12-20,2024-12-30,25577901.87,23757112.76,1820789.11,212821.14,1607967.97,0.0712,0.0629
KMC25065,SR001,KMC001,PRD002,FCA,WON,2024-12-31,2025-01-04,2025-01-07,2025-01-14,21842477.77,20124642.16,1717835.61,323789.14,1394046.47,0.0786,0.0638
BUL25066,SR005,BUL001,PRD006,DAP,WON,2024-12-19,2024-12-22,2024-12-21,2024-12-29,2820443.16,2425223.57,395219.59,55185.92,340033.67,0.1401,0.1206
DRX25067,SR003,DRX001,PRD002,FCA,WON,2025-01-25,2025-01-28,2025-01-28,2025-02-06,4572452.24,3956380.19,616072.05,24630.44,591441.61,0.1347,0.1293
KMC25068,SR004,KMC001,PRD004,DAP,WON,2024-12-08,2024-12-13,2024-12-16,2024-12-20,8677856.45,7773682.37,904174.08,156242.32,747931.76,0.1042,0.0862
KIT25069,SR001,KIT001,PRD001,DAP,QUOTE,2024-12-06,2024-12-09,2024-12-10,,19493313.44,17115873.83,2377439.61,208842.9,2168596.71,0.122,0.1112
AFR25070,SR004,AFR001,PRD005,FCA,WON,2025-01-21,2025-01-28,2025-01-27,2025-02-05,11653161.75,9472723.84,2180437.91,98205.9,2082232.01,0.1871,0.1787
KIT25071,SR001,KIT001,PRD001,FOB,WON,2024-12-08,2024-12-15,2024-12-16,2024-12-19,17717101.85,14889392.22,2827709.63,176191.08,2651518.55,0.1596,0.1497
DRX25072,SR002,DRX001,PRD006,EXW,WON,2024-12-08,2024-12-12,2024-12-15,2024-12-21,3650221.29,2761537.59,888683.7,41746.44,846937.26,0.2435,0.232
LUB25073,SR001,LUB001,PRD002,FOB,WON,2025-01-04,2025-01-07,2025-01-09,2025-01-16,6812415.74,5299441.85,1512973.89,67209.55,1445764.34,0.2221,0.2122
KIT25074,SR005,KIT001,PRD004,EXW,WON,2025-01-19,2025-01-25,2025-01-24,2025-01-30,8823880.06,7673436.38,1150443.68,108529.24,1041914.44,0.1304,0.1181
AFR25075,SR003,AFR001,PRD001,FOB,WON,2024-12-29,2025-01-01,2025-01-01,2025-01-08,9344006.59,7845983.79,1498022.8,140353.73,1357669.07,0.1603,0.1453
LUB25076,SR006,LUB001,PRD006,EXW,WON,2024-12-27,2024-12-29,2024-12-30,2025-01-02,25193858.81,22876187.01,2317671.8,473557.53,1844114.27,0.092,0.0732
DRX25077,SR003,DRX001,PRD002,FOB,WON,2024-12-09,2024-12-15,2024-12-18,2024-12-22,18857246.76,16629164.55,2228082.21,325932.97,1902149.24,0.1182,0.1009
KIT25078,SR005,KIT001,PRD005,EXW,QUOTE,2025-01-27,2025-02-02,2025-02-05,,17164448.89,13371701.7,3792747.19,199046.54,3593700.65,0.221,0.2094
KIT25079,SR004,KIT001,PRD006,DAP,STAGE,2025-01-08,2025-01-10,2025-01-11,,10653549.05,8661105.96,1992443.09,62358.96,1930084.13,0.187,0.1812
AFR25080,SR001,AFR001,PRD006,FOB,QUOTE,2025-01-03,2025-01-08,2025-01-10,,26935281.36,23830458.52,3104822.84,151250.78,2953572.06,0.1153,0.1097
DRX25081,SR003,DRX001,PRD005,EXW,WON,2024-12-05,2024-12-10,2024-12-09,2024-12-15,10493312.58,9040322.19,1452990.39,58627.52,1394362.87,0.1385,0.1329
BUL25082,SR006,BUL001,PRD005,FOB,STAGE,2025-01-12,2025-01-16,2025-01-15,,11276266.45,8983136.76,2293129.69,99004.91,2194124.78,0.2034,0.1946
ZAM25083,SR003,ZAM001,PRD001,FCA,QUOTE,2025-01-29,2025-02-02,2025-02-03,,32713437.24,26104979.3,6608457.94,455554.84,6152903.1,0.202,0.1881
KMC25084,SR003,KMC001,PRD005,EXW,QUOTE,2024-12-23,2024-12-26,2024-12-29,,6009661.2,4970723.72,1038937.48,31691.7,1007245.78,0.1729,0.1676
AFR25085,SR002,AFR001,PRD002,DAP,LOST,2025-01-02,2025-01-05,2025-01-05,2025-01-08,4451915.39,3993501.86,458413.53,56162.45,402251.08,0.103,0.0904
BEI25086,SR006,BEI001,PRD003,FCA,WON,2024-12-26,2024-12-29,2024-12-29,2025-01-01,30888577.94,27869557.06,3019020.88,231141.93,2787878.95,0.0977,0.0903
AFR25087,SR004,AFR001,PRD002,DAP,QUOTE,2025-01-07,2025-01-12,2025-01-14,,29068429.21,24002577.34,5065851.87,327889.34,4737962.53,0.1743,0.163
ZAM25088,SR002,ZAM001,PRD005,CIF,STAGE,2024-12-05,2024-12-12,2024-12-14,,25089571.53,18206183.17,6883388.36,443793.98,6439594.38,0.2744,0.2567
KMC25089,SR003,KMC001,PRD001,CIF,WON,2025-01-28,2025-02-03,2025-02-03,2025-02-10,7601776.18,6873342.17,728434.01,138880.24,589553.77,0.0958,0.0776
BEI25090,SR003,BEI001,PRD001,DAP,STAGE,2024-12-10,2024-12-12,2024-12-13,,23342336.86,21189651.03,2152685.83,382408.57,1770277.26,0.0922,0.0758
KIT25091,SR004,KIT001,PRD005,FOB,LOST,2024-12-03,2024-12-07,2024-12-07,2024-12-10,20651506.0,17180873.31,3470632.69,137700.17,3332932.52,0.1681,0.1614
AFR25092,SR002,AFR001,PRD003,FOB,WON,2024-12-28,2025-01-04,2025-01-07,2025-01-15,6085088.78,5019938.44,1065150.34,79354.47,985795.87,0.175,0.162
BUL25093,SR001,BUL001,PRD005,FCA,WON,2025-01-03,2025-01-09,2025-01-08,2025-01-15,8091415.7,6446595.39,1644820.31,85765.25,1559055.06,0.2033,0.1927
BUL25094,SR005,BUL001,PRD003,CIF,STAGE,2025-01-14,2025-01-19,2025-01-21,,25359344.22,18151588.01,7207756.21,422051.91,6785704.3,0.2842,0.2676
KIT25095,SR001,KIT001,PRD003,CIF,WON,2024-12-14,2024-12-16,2024-12-17,2024-12-22,25143043.65,21013491.69,4129551.96,221251.4,3908300.56,0.1642,0.1554
KIT25096,SR004,KIT001,PRD003,CIF,WON,2025-01-02,2025-01-06,2025-01-09,2025-01-14,28543673.22,20543787.92,7999885.3,400661.82,7599223.48,0.2803,0.2662
ZAM25097,SR006,ZAM001,PRD004,DAP,WON,2025-01-17,2025-01-21,2025-01-24,2025-01-31,15359522.29,14391505.21,968017.08,94086.56,873930.52,0.063,0.0569
KMC25098,SR002,KMC001,PRD006,DAP,WON,2025-01-31,2025-02-06,2025-02-05,2025-02-15,5802858.36,4600164.48,1202693.88,67656.04,1135037.84,0.2073,0.1956
KIT25099,SR005,KIT001,PRD004,FCA,WON,2025-01-20,2025-01-24,2025-01-26,2025-01-30,18149563.57,16863117.56,1286446.01,224473.86,1061972.15,0.0709,0.0585
KMC25100,SR005,KMC001,PRD005,DAP,STAGE,2025-01-25,2025-01-28,2025-01-28,,21643453.47,15807093.09,5836360.38,173465.91,5662894.47,0.2697,0.2616
ZAM25101,SR002,ZAM001,PRD004,FOB,WON,2025-01-07,2025-01-11,2025-01-13,2025-01-22,8814684.0,6315165.99,2499518.01,96718.24,2402799.77,0.2836,0.2726
ZAM25102,SR005,ZAM001,PRD006,FCA,WON,2024-12-10,2024-12-15,2024-12-18,2024-12-19,22842426.51,17726434.19,5115992.32,169707.91,4946284.41,0.224,0.2165
AFR25103,SR005,AFR001,PRD005,FOB,WON,2024-12-12,2024-12-18,2024-12-21,2024-12-24,7855655.04,7270410.49,585244.55,79061.62,506182.93,0.0745,0.0644
BEI25104,SR004,BEI001,PRD006,FCA,WON,2024-12-21,2024-12-26,2024-12-26,2025-01-02,3763859.4,2691077.64,1072781.76,43638.5,1029143.26,0.285,0.2734
LUB25105,SR002,LUB001,PRD003,FCA,QUOTE,2024-12-22,2024-12-25,2024-12-27,,5122138.89,3765895.93,1356242.96,29498.8,1326744.16,0.2648,0.259
LUB25106,SR005,LUB001,PRD004,CIF,LOST,2025-01-28,2025-01-31,2025-02-01,2025-02-11,10949693.17,8100972.85,2848720.32,218331.86,2630388.46,0.2602,0.2402
KIT25107,SR004,KIT001,PRD003,EXW,WON,2025-01-31,2025-02-05,2025-02-08,2025-02-16,15101158.09,11903091.79,3198066.3,86954.07,3111112.23,0.2118,0.206
BEI25108,SR004,BEI001,PRD001,FCA,QUOTE,2024-12-25,2024-12-31,2025-01-01,,4388706.75,3910781.1,477925.65,40357.71,437567.94,0.1089,0.0997
KMC25109,SR002,KMC001,PRD001,EXW,WON,2024-12-23,2024-12-29,2024-12-30,2025-01-02,7423238.81,6124316.59,1298922.22,42160.66,1256761.56,0.175,0.1693
BUL25110,SR002,BUL001,PRD004,FCA,QUOTE,2024-12-21,2024-12-27,2024-12-28,,14813068.1,12183180.62,2629887.48,199144.87,2430742.61,0.1775,0.1641
KIT25111,SR001,KIT001,PRD003,DAP,QUOTE,2024-12-28,2025-01-03,2025-01-04,,28352373.37,24723578.98,3628794.39,153094.52,3475699.87,0.128,0.1226
KIT25112,SR003,KIT001,PRD006,FCA,QUOTE,2025-01-17,2025-01-19,2025-01-22,,14459404.58,12728551.8,1730852.78,240302.17,1490550.61,0.1197,0.1031
LUB25113,SR002,LUB001,PRD006,CIF,WON,2025-01-31,2025-02-07,2025-02-06,2025-02-10,2254666.25,1663623.11,591043.14,34626.05,556417.09,0.2621,0.2468
LUB25114,SR003,LUB001,PRD002,EXW,LOST,2024-12-23,2024-12-29,2024-12-30,2025-01-04,9547743.05,7271845.48,2275897.57,127665.73,2148231.84,0.2384,0.225
DRX25115,SR003,DRX001,PRD003,CIF,QUOTE,2025-01-02,2025-01-06,2025-01-08,,17597418.67,15817463.33,1779955.34,160169.29,1619786.05,0.1011,0.092
KMC25116,SR005,KMC001,PRD006,FCA,WON,2024-12-27,2024-12-31,2024-12-31,2025-01-05,5972676.08,4298877.56,1673798.52,112645.53,1561152.99,0.2802,0.2614
DRX25117,SR002,DRX001,PRD001,FCA,WON,2024-12-16,2024-12-18,2024-12-17,2024-12-24,10017076.55,8717841.65,1299234.9,70740.65,1228494.25,0.1297,0.1226
DRX25118,SR005,DRX001,PRD006,FOB,LOST,2024-12-13,2024-12-18,2024-12-18,2024-12-19,22330312.42,18396737.99,3933574.43,425373.05,3508201.38,0.1762,0.1571
AFR25119,SR001,AFR001,PRD001,DAP,QUOTE,2024-12-08,2024-12-12,2024-12-13,,16055842.76,13343683.92,2712158.84,294446.49,2417712.35,0.1689,0.1506
ZAM25120,SR005,ZAM001,PRD004,DAP,WON,2024-12-09,2024-12-13,2024-12-13,2024-12-21,23543331.47,16563229.25,6980102.22,236767.81,6743334.41,0.2965,0.2864
KIT25121,SR003,KIT001,PRD002,FOB,WON,2024-12-17,2024-12-22,2024-12-23,2024-12-29,12865602.71,9042703.8,3822898.91,190478.47,3632420.44,0.2971,0.2823
AFR25122,SR003,AFR001,PRD005,CIF,WON,2024-12-10,2024-12-15,2024-12-15,2024-12-23,23355190.04,18776671.37,4578518.67,309188.1,4269330.57,0.196,0.1828
BEI25123,SR005,BEI001,PRD005,CIF,QUOTE,2024-12-11,2024-12-14,2024-12-15,,20916879.35,18199228.9,2717650.45,329519.7,2388130.75,0.1299,0.1142
KIT25124,SR001,KIT001,PRD005,EXW,STAGE,2024-12-31,2025-01-03,2025-01-06,,13575144.34,11399039.2,2176105.14,204869.5,1971235.64,0.1603,0.1452
AFR25125,SR006,AFR001,PRD001,EXW,WON,2024-12-02,2024-12-09,2024-12-09,2024-12-19,3876121.14,3391978.96,484142.18,50844.84,433297.34,0.1249,0.1118
KIT25126,SR004,KIT001,PRD004,FOB,QUOTE,2025-01-13,2025-01-19,2025-01-19,,14136174.68,10526055.87,3610118.81,184602.57,3425516.24,0.2554,0.2423
ZAM25127,SR006,ZAM001,PRD002,FOB,STAGE,2024-12-21,2024-12-26,2024-12-29,,10464236.07,7925780.0,2538456.07,124622.56,2413833.51,0.2426,0.2307
ZAM25128,SR003,ZAM001,PRD002,FOB,WON,2025-01-13,2025-01-18,2025-01-21,2025-01-22,3173407.88,2692592.28,480815.6,37118.13,443697.47,0.1515,0.1398
AFR25129,SR002,AFR001,PRD006,FCA,WON,2025-01-09,2025-01-16,2025-01-17,2025-01-21,4783179.58,4137704.35,645475.23,39775.2,605700.03,0.1349,0.1266
LUB25130,SR005,LUB001,PRD003,EXW,WON,2024-12-21,2024-12-26,2024-12-26,2025-01-04,20704818.96,16050046.55,4654772.41,323277.84,4331494.57,0.2248,0.2092
KIT25131,SR003,KIT001,PRD001,FCA,QUOTE,2024-12-14,2024-12-16,2024-12-17,,13265428.91,9416954.05,3848474.86,80809.87,3767664.99,0.2901,0.284
DRX25132,SR004,DRX001,PRD002,DAP,WON,2025-01-29,2025-01-31,2025-01-31,2025-02-04,11493230.03,10917338.77,575891.26,140031.37,435859.89,0.0501,0.0379
BUL25133,SR005,BUL001,PRD004,EXW,WON,2025-01-17,2025-01-22,2025-01-23,2025-01-27,9983297.22,8392270.94,1591026.28,83052.16,1507974.12,0.1594,0.151
KIT25134,SR005,KIT001,PRD006,DAP,WON,2025-01-23,2025-01-28,2025-01-30,2025-02-07,9380515.28,6963310.59,2417204.69,148256.26,2268948.43,0.2577,0.2419
ZAM25135,SR006,ZAM001,PRD002,FOB,QUOTE,2024-12-02,2024-12-05,2024-12-08,,4985100.18,4284355.36,700744.82,94759.56,605985.26,0.1406,0.1216
KIT25136,SR006,KIT001,PRD004,FOB,WON,2025-01-06,2025-01-11,2025-01-10,2025-01-11,10262871.95,9691946.71,570925.24,53953.34,516971.9,0.0556,0.0504
LUB25137,SR001,LUB001,PRD003,EXW,WON,2024-12-17,2024-12-24,2024-12-24,2024-12-29,28120985.79,24280613.27,3840372.52,502614.46,3337758.06,0.1366,0.1187
LUB25138,SR006,LUB001,PRD003,FCA,LOST,2024-12-08,2024-12-14,2024-12-13,2024-12-17,11626800.17,10718614.26,908185.91,141062.2,767123.71,0.0781,0.066
BEI25139,SR001,BEI001,PRD006,DAP,STAGE,2025-01-07,2025-01-14,2025-01-13,,10297567.06,7248607.01,3048960.05,83486.2,2965473.85,0.2961,0.288
ZAM25140,SR006,ZAM001,PRD004,FOB,WON,2025-01-07,2025-01-10,2025-01-13,2025-01-20,19698908.9,15679574.13,4019334.77,317077.14,3702257.63,0.204,0.1879
AFR25141,SR004,AFR001,PRD004,CIF,WON,2025-01-31,2025-02-05,2025-02-07,2025-02-10,22971076.27,16571874.92,6399201.35,328009.47,6071191.88,0.2786,0.2643
BUL25142,SR003,BUL001,PRD001,FOB,WON,2024-12-21,2024-12-26,2024-12-27,2025-01-01,2068629.2,1670924.64,397704.56,27626.08,370078.48,0.1923,0.1789
AFR25143,SR004,AFR001,PRD004,FOB,QUOTE,2025-01-06,2025-01-09,2025-01-12,,18890233.36,14023645.23,4866588.13,170650.3,4695937.83,0.2576,0.2486
AFR25144,SR004,AFR001,PRD002,FOB,WON,2024-12-19,2024-12-24,2024-12-25,2025-01-02,16926332.17,15843987.57,1082344.6,267664.41,814680.19,0.0639,0.0481
BUL25145,SR004,BUL001,PRD003,EXW,STAGE,2025-01-26,2025-02-02,2025-02-05,,4344534.67,4070045.8,274488.87,34811.77,239677.1,0.0632,0.0552
BUL25146,SR002,BUL001,PRD004,DAP,WON,2025-01-15,2025-01-22,2025-01-24,2025-02-03,15851071.01,12206514.09,3644556.92,266107.75,3378449.17,0.2299,0.2131
DRX25147,SR004,DRX001,PRD003,FOB,STAGE,2025-01-21,2025-01-26,2025-01-28,,4247575.86,3241624.26,1005951.6,31058.91,974892.69,0.2368,0.2295
LUB25148,SR004,LUB001,PRD001,EXW,LOST,2025-01-01,2025-01-07,2025-01-09,2025-01-18,23358134.24,20389951.1,2968183.14,307268.74,2660914.4,0.1271,0.1139
BUL25149,SR006,BUL001,PRD005,FCA,QUOTE,2024-12-07,2024-12-09,2024-12-09,,14399179.62,12408492.49,1990687.13,81563.44,1909123.69,0.1383,0.1326
