deal_no,type,forecast_date,amount
ZAM25097,Inflow,2025-01-22,4607856.69
ZAM25097,Inflow,2025-02-22,10751665.6
KMC25098,Inflow,2025-02-02,580285.84
KMC25098,Inflow,2025-03-24,5222572.52
KIT25099,Inflow,2025-01-22,1814956.36
KIT25099,Inflow,2025-03-21,16334607.21
ZAM25101,Inflow,2025-01-13,2644405.2
ZAM25101,Inflow,2025-02-17,6170278.8
ZAM25102,Inflow,2024-12-15,3426363.98
ZAM25102,Inflow,2025-01-27,19416062.53
AFR25103,Inflow,2024-12-12,785565.5
AFR25103,Inflow,2025-01-18,7070089.54
BEI25104,Inflow,2024-12-28,1129157.82
BEI25104,Inflow,2025-02-06,2634701.58
KIT25107,Inflow,2025-02-07,4530347.43
KIT25107,Inflow,2025-03-25,10570810.66
KMC25109,Inflow,2024-12-28,1113485.82
KMC25109,Inflow,2025-02-14,6309752.99
LUB25113,Inflow,2025-02-07,676399.88
LUB25113,Inflow,2025-03-20,1578266.38
KMC25116,Inflow,2025-01-03,1194535.22
KMC25116,Inflow,2025-02-14,4778140.86
DRX25117,Inflow,2024-12-22,1502561.48
DRX25117,Inflow,2025-02-10,8514515.07
ZAM25120,Inflow,2024-12-12,4708666.29
ZAM25120,Inflow,2025-01-26,18834665.18
KIT25121,Inflow,2024-12-17,1929840.41
KIT25121,Inflow,2025-01-31,10935762.3
AFR25122,Inflow,2024-12-13,7006557.01
AFR25122,Inflow,2025-02-05,16348633.03
AFR25125,Inflow,2024-12-03,387612.11
AFR25125,Inflow,2025-01-25,3488509.03
ZAM25128,Inflow,2025-01-16,317340.79
ZAM25128,Inflow,2025-03-16,2856067.09
AFR25129,Inflow,2025-01-13,956635.92
AFR25129,Inflow,2025-03-10,3826543.66
LUB25130,Inflow,2024-12-21,6211445.69
LUB25130,Inflow,2025-02-04,14493373.27
DRX25132,Inflow,2025-02-01,1723984.5
DRX25132,Inflow,2025-03-19,9769245.53
BUL25133,Inflow,2025-01-17,1497494.58
BUL25133,Inflow,2025-02-25,8485802.64
KIT25134,Inflow,2025-01-25,2814154.58
KIT25134,Inflow,2025-02-22,6566360.7
KIT25136,Inflow,2025-01-08,3078861.58
KIT25136,Inflow,2025-02-07,7184010.36
LUB25137,Inflow,2024-12-18,2812098.58
LUB25137,Inflow,2025-02-21,25308887.21
ZAM25140,Inflow,2025-01-12,1969890.89
ZAM25140,Inflow,2025-02-08,17729018.01
AFR25141,Inflow,2025-02-01,3445661.44
AFR25141,Inflow,2025-03-25,19525414.83
BUL25142,Inflow,2024-12-22,620588.76
BUL25142,Inflow,2025-01-09,1448040.44
AFR25144,Inflow,2024-12-22,5077899.65
AFR25144,Inflow,2025-01-28,11848432.52
BUL25146,Inflow,2025-01-16,3170214.2
BUL25146,Inflow,2025-02-27,12680856.81
LUB25150,Inflow,2024-12-20,6013645.28
LUB25150,Inflow,2025-01-12,14031838.99
ZAM25151,Inflow,2024-12-15,2529751.74
ZAM25151,Inflow,2025-01-23,10119006.94
DRX25153,Inflow,2025-01-21,4409307.02
DRX25153,Inflow,2025-02-19,24986073.09
BUL25154,Inflow,2024-12-11,2492375.9
BUL25154,Inflow,2025-01-16,22431383.12
LUB25155,Inflow,2024-12-13,4650593.99
LUB25155,Inflow,2025-01-12,10851385.98
KIT25156,Inflow,2024-12-14,1938544.46
KIT25156,Inflow,2025-01-19,4523270.41
KIT25157,Inflow,2025-01-31,772742.75
KIT25157,Inflow,2025-03-08,6954684.72
AFR25159,Inflow,2025-01-22,2158302.42
AFR25159,Inflow,2025-03-10,8633209.68
KMC25160,Inflow,2024-12-26,1888806.89
KMC25160,Inflow,2025-02-27,16999262.05
KIT25162,Inflow,2024-12-07,1682377.99
KIT25162,Inflow,2025-01-05,15141401.87
LUB25163,Inflow,2025-01-07,1001767.19
LUB25163,Inflow,2025-02-09,9015904.74
BEI25167,Inflow,2025-01-04,7543268.23
BEI25167,Inflow,2025-02-12,17600959.21
ZAM25168,Inflow,2025-01-20,115393.95
ZAM25168,Inflow,2025-03-29,1038545.54
ZAM25169,Inflow,2025-02-02,1162182.88
ZAM25169,Inflow,2025-03-27,10459645.92
BEI25170,Inflow,2025-01-18,2241921.44
BEI25170,Inflow,2025-03-04,8967685.77
DRX25173,Inflow,2024-12-17,4230337.02
DRX25173,Inflow,2025-01-22,23971909.79
AFR25175,Inflow,2025-01-13,1964096.18
AFR25175,Inflow,2025-02-08,11129878.34
KMC25179,Inflow,2024-12-23,1537227.01
KMC25179,Inflow,2025-01-25,13835043.09
DRX25180,Inflow,2024-12-28,3784253.33
DRX25180,Inflow,2025-01-14,34058279.99
ZAM25183,Inflow,2024-12-30,3296205.12
ZAM25183,Inflow,2025-02-01,7691145.29
BEI25184,Inflow,2025-01-21,1827433.31
BEI25184,Inflow,2025-02-27,10355455.43
ZAM25186,Inflow,2025-01-25,635161.72
ZAM25186,Inflow,2025-03-26,3599249.72
BEI25187,Inflow,2025-01-12,3126616.96
BEI25187,Inflow,2025-02-20,28139552.65
KMC25191,Inflow,2025-01-27,169388.15
KMC25191,Inflow,2025-03-28,1524493.39
AFR25193,Inflow,2024-12-26,12559183.97
AFR25193,Inflow,2025-02-25,29304762.59
LUB25194,Inflow,2024-12-20,837400.53
LUB25194,Inflow,2025-02-11,3349602.1
BUL25196,Inflow,2025-01-06,1600686.93
BUL25196,Inflow,2025-02-10,6402747.72
KIT25197,Inflow,2024-12-28,2476103.0
KIT25197,Inflow,2025-01-29,14031250.3
KIT25201,Inflow,2025-01-14,5537643.8
KIT25201,Inflow,2025-02-18,12921168.88
AFR25209,Inflow,2024-12-19,3770479.69
AFR25209,Inflow,2025-01-13,15081918.74
KIT25211,Inflow,2025-01-23,5098789.94
KIT25211,Inflow,2025-03-01,11897176.54
ZAM25212,Inflow,2024-12-23,1612444.02
ZAM25212,Inflow,2025-01-19,14511996.21
BEI25216,Inflow,2024-12-04,2956522.6
BEI25216,Inflow,2025-01-04,11826090.38
ZAM25218,Inflow,2025-01-11,643909.94
ZAM25218,Inflow,2025-03-13,5795189.47
DRX25219,Inflow,2025-01-17,2231047.36
DRX25219,Inflow,2025-02-15,20079426.29
BUL25220,Inflow,2025-01-08,906717.64
BUL25220,Inflow,2025-02-06,2115674.5
BEI25222,Inflow,2025-02-03,2935244.69
BEI25222,Inflow,2025-04-06,6848904.29
DRX25225,Inflow,2025-01-17,3510046.26
DRX25225,Inflow,2025-02-13,8190107.93
KIT25227,Inflow,2025-01-05,819095.64
KIT25227,Inflow,2025-02-28,3276382.57
LUB25233,Inflow,2024-12-26,1350419.96
LUB25233,Inflow,2025-02-07,5401679.84
AFR25235,Inflow,2024-12-28,1994762.67
AFR25235,Inflow,2025-01-20,7979050.67
DRX25236,Inflow,2025-01-03,4115099.08
DRX25236,Inflow,2025-02-24,16460396.3
DRX25237,Inflow,2025-01-16,1824080.8
DRX25237,Inflow,2025-02-20,7296323.19
ZAM25239,Inflow,2025-01-08,3367706.17
ZAM25239,Inflow,2025-02-20,13470824.69
DRX25240,Inflow,2025-01-28,2122806.86
DRX25240,Inflow,2025-02-27,8491227.42
LUB25242,Inflow,2025-01-20,352786.95
LUB25242,Inflow,2025-03-27,1999126.02
BEI25243,Inflow,2025-01-22,1112055.31
BEI25243,Inflow,2025-02-27,10008497.78
BEI25245,Inflow,2025-01-08,4801256.02
BEI25245,Inflow,2025-02-20,27207117.43
KMC25246,Inflow,2024-12-15,3996294.6
KMC25246,Inflow,2025-02-14,15985178.39
BUL25247,Inflow,2024-12-24,3219737.7
BUL25247,Inflow,2025-01-25,7512721.29
AFR25250,Inflow,2024-12-29,4105269.59
AFR25250,Inflow,2025-01-30,23263194.33
KMC25004,Outflow,2024-12-18,-1794282.08
KMC25004,Outflow,2024-12-28,-7177128.33
KIT25005,Outflow,2024-12-15,-959045.65
KIT25005,Outflow,2025-01-05,-5434592.0
BUL25007,Outflow,2024-12-02,-1453949.98
BUL25007,Outflow,2024-12-17,-13085549.78
DRX25011,Outflow,2025-01-12,-9110853.73
DRX25011,Outflow,2025-01-26,-21258658.71
KMC25012,Outflow,2024-12-31,-551597.81
KMC25012,Outflow,2025-01-28,-3125720.93
ZAM25014,Outflow,2025-01-26,-2081803.55
ZAM25014,Outflow,2025-02-03,-18736231.91
BEI25015,Outflow,2025-01-27,-1265851.71
BEI25015,Outflow,2025-02-07,-5063406.85
BUL25016,Outflow,2025-01-13,-3508405.13
BUL25016,Outflow,2025-01-29,-31575646.14
BEI25021,Outflow,2024-12-11,-4201560.75
BEI25021,Outflow,2024-12-28,-23808844.25
KIT25023,Outflow,2025-01-24,-1976881.42
KIT25023,Outflow,2025-02-28,-7907525.69
AFR25024,Outflow,2025-01-21,-1702211.78
AFR25024,Outflow,2025-02-05,-6808847.14
KMC25025,Outflow,2024-12-31,-1283170.01
KMC25025,Outflow,2025-01-13,-5132680.05
KIT25026,Outflow,2025-02-01,-2326094.29
KIT25026,Outflow,2025-02-08,-5427553.35
KIT25027,Outflow,2025-01-18,-787124.34
KIT25027,Outflow,2025-01-29,-7084119.05
KIT25029,Outflow,2025-01-24,-1709476.78
KIT25029,Outflow,2025-02-04,-3988779.16
DRX25030,Outflow,2025-01-04,-4823092.85
DRX25030,Outflow,2025-01-21,-11253883.32
DRX25031,Outflow,2024-12-03,-3784201.16
DRX25031,Outflow,2024-12-23,-21443806.6
LUB25032,Outflow,2025-01-19,-458902.98
LUB25032,Outflow,2025-02-06,-2600450.21
KMC25035,Outflow,2025-01-25,-2963114.39
KMC25035,Outflow,2025-02-15,-11852457.58
DRX25037,Outflow,2024-12-31,-948565.23
DRX25037,Outflow,2025-01-15,-5375202.98
DRX25039,Outflow,2025-01-07,-2675813.34
DRX25039,Outflow,2025-01-19,-15162942.24
KIT25044,Outflow,2025-01-12,-3213504.21
KIT25044,Outflow,2025-01-18,-7498176.5
DRX25046,Outflow,2024-12-15,-824585.02
DRX25046,Outflow,2025-01-08,-3298340.09
KIT25047,Outflow,2024-12-30,-565435.39
KIT25047,Outflow,2025-01-18,-2261741.54
LUB25048,Outflow,2025-01-01,-3299016.31
LUB25048,Outflow,2025-01-07,-7697704.71
KIT25049,Outflow,2025-01-10,-1826680.97
KIT25049,Outflow,2025-01-17,-4262255.59
KMC25050,Outflow,2025-01-18,-2484964.81
KMC25050,Outflow,2025-02-13,-5798251.22
LUB25053,Outflow,2024-12-06,-665561.27
LUB25053,Outflow,2024-12-27,-2662245.1
AFR25060,Outflow,2025-01-12,-3701253.67
AFR25060,Outflow,2025-01-19,-20973770.78
AFR25064,Outflow,2024-12-18,-1641928.24
AFR25064,Outflow,2025-01-13,-14777354.12
KMC25065,Outflow,2025-01-02,-2401628.47
KMC25065,Outflow,2025-01-13,-13609227.98
BUL25066,Outflow,2024-12-23,-359159.49
BUL25066,Outflow,2025-01-02,-2035237.1
DRX25067,Outflow,2025-01-29,-844605.02
DRX25067,Outflow,2025-02-08,-1970745.05
KMC25068,Outflow,2024-12-11,-631646.58
KMC25068,Outflow,2025-01-02,-5684819.23
AFR25070,Outflow,2025-01-23,-1696770.95
AFR25070,Outflow,2025-02-10,-6787083.78
KIT25071,Outflow,2024-12-08,-2764305.7
KIT25071,Outflow,2025-01-09,-11057222.79
DRX25072,Outflow,2024-12-09,-386178.83
DRX25072,Outflow,2024-12-24,-2188346.68
LUB25073,Outflow,2025-01-09,-1276255.97
LUB25073,Outflow,2025-01-15,-2977930.6
KIT25074,Outflow,2025-01-20,-875320.56
KIT25074,Outflow,2025-02-02,-4960149.85
AFR25075,Outflow,2025-01-02,-1637720.55
AFR25075,Outflow,2025-01-11,-6550882.19
LUB25076,Outflow,2025-01-01,-3142152.14
LUB25076,Outflow,2025-01-11,-12568608.58
DRX25077,Outflow,2024-12-10,-1472221.99
DRX25077,Outflow,2024-12-23,-13249997.93
DRX25081,Outflow,2024-12-08,-1493944.99
DRX25081,Outflow,2025-01-05,-5975779.95
BEI25086,Outflow,2024-12-27,-7257378.96
BEI25086,Outflow,2025-01-11,-16933884.23
KMC25089,Outflow,2025-01-30,-544172.9
KMC25089,Outflow,2025-02-13,-4897556.12
AFR25092,Outflow,2025-01-02,-703921.53
AFR25092,Outflow,2025-01-08,-3988888.64
BUL25093,Outflow,2025-01-04,-1327889.8
BUL25093,Outflow,2025-01-13,-5311559.21
KIT25095,Outflow,2024-12-17,-3204946.86
KIT25095,Outflow,2024-12-29,-12819787.45
KIT25096,Outflow,2025-01-06,-5897337.79
KIT25096,Outflow,2025-01-20,-13760454.85
ZAM25097,Outflow,2025-01-17,-3702074.48
ZAM25097,Outflow,2025-02-04,-8638173.8
KMC25098,Outflow,2025-01-31,-396687.89
KMC25098,Outflow,2025-02-18,-3570191.0
KIT25099,Outflow,2025-01-25,-3060574.77
KIT25099,Outflow,2025-02-06,-12242299.1
ZAM25101,Outflow,2025-01-12,-1645480.99
ZAM25101,Outflow,2025-01-27,-3839455.63
ZAM25102,Outflow,2024-12-11,-3611465.97
ZAM25102,Outflow,2025-01-05,-14445863.87
AFR25103,Outflow,2024-12-16,-1563060.66
AFR25103,Outflow,2024-12-21,-3647141.53
BEI25104,Outflow,2024-12-26,-646212.2
BEI25104,Outflow,2025-01-14,-2584848.81
KIT25107,Outflow,2025-02-03,-2611705.56
KIT25107,Outflow,2025-02-16,-10446822.26
KMC25109,Outflow,2024-12-25,-966438.88
KMC25109,Outflow,2025-01-26,-5476486.98
LUB25113,Outflow,2025-02-05,-298608.65
LUB25113,Outflow,2025-02-24,-1194434.62
KMC25116,Outflow,2024-12-27,-724651.08
KMC25116,Outflow,2025-01-18,-4106356.11
DRX25117,Outflow,2024-12-16,-697540.32
DRX25117,Outflow,2025-01-24,-6277862.86
ZAM25120,Outflow,2024-12-10,-1695707.58
ZAM25120,Outflow,2024-12-21,-15261368.22
KIT25121,Outflow,2024-12-22,-1856826.61
KIT25121,Outflow,2024-12-31,-7427306.45
AFR25122,Outflow,2024-12-14,-1894408.58
AFR25122,Outflow,2024-12-20,-17049677.24
AFR25125,Outflow,2024-12-04,-965958.2
AFR25125,Outflow,2024-12-16,-2253902.48
ZAM25128,Outflow,2025-01-14,-241790.28
ZAM25128,Outflow,2025-02-03,-2176112.53
AFR25129,Outflow,2025-01-14,-716221.01
AFR25129,Outflow,2025-01-26,-2864884.02
LUB25130,Outflow,2024-12-23,-2089710.39
LUB25130,Outflow,2025-01-03,-11841692.19
DRX25132,Outflow,2025-01-31,-1641688.9
DRX25132,Outflow,2025-02-14,-6566755.6
BUL25133,Outflow,2025-01-21,-2093374.4
BUL25133,Outflow,2025-01-31,-4884540.27
KIT25134,Outflow,2025-01-23,-828821.49
KIT25134,Outflow,2025-02-08,-7459393.43
KIT25136,Outflow,2025-01-08,-1349731.61
KIT25136,Outflow,2025-01-16,-5398926.46
LUB25137,Outflow,2024-12-17,-3336655.8
LUB25137,Outflow,2025-01-11,-18907716.2
ZAM25140,Outflow,2025-01-09,-4149641.89
ZAM25140,Outflow,2025-01-15,-9682497.74
AFR25141,Outflow,2025-02-05,-2877705.07
AFR25141,Outflow,2025-02-11,-16306995.42
BUL25142,Outflow,2024-12-24,-322462.41
BUL25142,Outflow,2024-12-25,-1289849.65
AFR25144,Outflow,2024-12-23,-2994765.11
AFR25144,Outflow,2025-01-07,-11979060.45
BUL25146,Outflow,2025-01-20,-1316092.4
BUL25146,Outflow,2025-02-04,-11844831.63
LUB25150,Outflow,2024-12-18,-1452880.34
LUB25150,Outflow,2025-01-02,-13075923.09
ZAM25151,Outflow,2024-12-20,-1200637.62
ZAM25151,Outflow,2025-01-01,-6803613.18
DRX25153,Outflow,2025-01-20,-7065570.46
DRX25153,Outflow,2025-02-08,-16486331.06
BUL25154,Outflow,2024-12-13,-2448435.15
BUL25154,Outflow,2024-12-25,-13874465.86
LUB25155,Outflow,2024-12-16,-3927732.7
LUB25155,Outflow,2024-12-26,-9164709.63
KIT25156,Outflow,2024-12-11,-1075934.91
KIT25156,Outflow,2024-12-26,-4303739.63
KIT25157,Outflow,2025-01-25,-1815354.94
KIT25157,Outflow,2025-02-13,-4235828.18
AFR25159,Outflow,2025-01-22,-2556687.16
AFR25159,Outflow,2025-02-18,-5965603.37
KMC25160,Outflow,2024-12-22,-2522799.33
KMC25160,Outflow,2025-01-16,-14295862.87
KIT25162,Outflow,2024-12-07,-2418929.06
KIT25162,Outflow,2024-12-17,-9675716.25
LUB25163,Outflow,2025-01-01,-716185.07
LUB25163,Outflow,2025-01-26,-6445665.66
BEI25167,Outflow,2025-01-05,-2179043.57
BEI25167,Outflow,2025-01-20,-19611392.16
ZAM25168,Outflow,2025-01-19,-93531.71
ZAM25168,Outflow,2025-02-08,-841785.43
ZAM25169,Outflow,2025-01-29,-2347645.86
ZAM25169,Outflow,2025-03-02,-5477840.35
BEI25170,Outflow,2025-01-18,-970667.22
BEI25170,Outflow,2025-02-01,-8736004.96
DRX25173,Outflow,2024-12-12,-2007555.37
DRX25173,Outflow,2025-01-07,-18067998.29
AFR25175,Outflow,2025-01-08,-1866890.17
AFR25175,Outflow,2025-01-27,-7467560.66
KMC25179,Outflow,2024-12-23,-2615674.78
KMC25179,Outflow,2024-12-29,-10462699.14
DRX25180,Outflow,2024-12-22,-4819882.88
DRX25180,Outflow,2025-01-04,-27312669.65
ZAM25183,Outflow,2025-01-04,-1087479.05
ZAM25183,Outflow,2025-01-15,-6162381.28
BEI25184,Outflow,2025-01-21,-1644473.36
BEI25184,Outflow,2025-01-29,-9318682.35
ZAM25186,Outflow,2025-01-22,-398295.84
ZAM25186,Outflow,2025-02-08,-2257009.75
BEI25187,Outflow,2025-01-14,-6679180.48
BEI25187,Outflow,2025-01-25,-15584754.46
KMC25191,Outflow,2025-01-30,-439747.79
KMC25191,Outflow,2025-02-10,-1026078.17
AFR25193,Outflow,2024-12-27,-5158195.98
AFR25193,Outflow,2025-01-07,-20632783.9
LUB25194,Outflow,2024-12-21,-395103.75
LUB25194,Outflow,2025-01-02,-2238921.25
BUL25196,Outflow,2025-01-04,-2030119.4
BUL25196,Outflow,2025-01-28,-4736945.27
KIT25197,Outflow,2024-12-27,-3158797.29
KIT25197,Outflow,2025-01-17,-7370527.02
KIT25201,Outflow,2025-01-15,-3788320.8
KIT25201,Outflow,2025-01-27,-8839415.19
AFR25209,Outflow,2024-12-17,-3380265.26
AFR25209,Outflow,2024-12-30,-13521061.04
KIT25211,Outflow,2025-01-23,-1604282.45
KIT25211,Outflow,2025-02-07,-9090933.9
ZAM25212,Outflow,2024-12-20,-3076272.83
ZAM25212,Outflow,2024-12-30,-7177969.93
BEI25216,Outflow,2024-12-05,-2419466.56
BEI25216,Outflow,2024-12-13,-9677866.25
ZAM25218,Outflow,2025-01-14,-820442.25
ZAM25218,Outflow,2025-01-27,-3281768.98
DRX25219,Outflow,2025-01-17,-2944648.69
DRX25219,Outflow,2025-01-24,-11778594.76
BUL25220,Outflow,2025-01-08,-719298.76
BUL25220,Outflow,2025-01-20,-1678363.78
BEI25222,Outflow,2025-01-28,-1166250.65
BEI25222,Outflow,2025-02-15,-6608753.66
DRX25225,Outflow,2025-01-16,-2999869.17
DRX25225,Outflow,2025-01-28,-6999694.72
KIT25227,Outflow,2025-01-04,-1038172.35
KIT25227,Outflow,2025-02-04,-2422402.14
LUB25233,Outflow,2024-12-28,-712604.56
LUB25233,Outflow,2025-01-11,-4038092.52
AFR25235,Outflow,2024-12-30,-841996.89
AFR25235,Outflow,2025-01-13,-7577972.02
DRX25236,Outflow,2025-01-07,-3594317.63
DRX25236,Outflow,2025-01-14,-14377270.5
DRX25237,Outflow,2025-01-14,-1112107.78
DRX25237,Outflow,2025-01-23,-6301944.06
ZAM25239,Outflow,2025-01-06,-4044690.78
ZAM25239,Outflow,2025-02-09,-9437611.81
DRX25240,Outflow,2025-01-22,-800477.6
DRX25240,Outflow,2025-02-13,-7204298.42
LUB25242,Outflow,2025-01-21,-490317.99
LUB25242,Outflow,2025-02-01,-1144075.31
BEI25243,Outflow,2025-01-19,-1079076.99
BEI25243,Outflow,2025-02-13,-6114769.63
BEI25245,Outflow,2025-01-10,-2030567.45
BEI25245,Outflow,2025-01-20,-18275107.01
KMC25246,Outflow,2024-12-19,-3136706.98
KMC25246,Outflow,2024-12-25,-12546827.94
BUL25247,Outflow,2024-12-19,-851797.1
BUL25247,Outflow,2025-01-14,-7666173.93
AFR25250,Outflow,2024-12-27,-4486242.26
AFR25250,Outflow,2025-01-11,-17944969.06
