id,deal_no,stock_ref,quantity,purchase_price,deposit_pct,deposit_date,balance_pct,balance_date,total_cost
22,KIT25044,STK004,4764.156,2248.39,0.3,2025-01-12,0.7,2025-01-18,10711680.71
23,DRX25046,STK006,768.371,5365.8,0.2,2024-12-15,0.8,2025-01-08,4122925.11
24,KIT25047,STK005,1626.656,1738.03,0.2,2024-12-30,0.8,2025-01-18,2827176.93
25,LUB25048,STK003,4359.799,2522.3,0.3,2025-01-01,0.7,2025-01-07,10996721.02
26,KIT25049,STK003,1416.012,4300.06,0.3,2025-01-10,0.7,2025-01-17,6088936.56
27,KMC25050,STK001,2369.707,3495.46,0.3,2025-01-18,0.7,2025-02-13,8283216.03
28,LUB25053,STK001,1993.976,1668.93,0.2,2024-12-06,0.8,2024-12-27,3327806.37
29,AFR25060,STK006,3853.275,6403.65,0.15,2025-01-12,0.85,2025-01-19,24675024.45
30,AFR25064,STK001,4479.057,3665.79,0.1,2024-12-18,0.9,2025-01-13,16419282.36
31,KMC25065,STK002,3143.032,5094.08,0.15,2025-01-02,0.85,2025-01-13,16010856.45
32,BUL25066,STK001,912.53,2623.91,0.15,2024-12-23,0.85,2025-01-02,2394396.59
33,DRX25067,STK003,1627.944,1729.39,0.3,2025-01-29,0.7,2025-02-08,2815350.07
34,KMC25068,STK004,4754.37,1328.56,0.1,2024-12-11,0.9,2025-01-02,6316465.81
35,AFR25070,STK003,3743.78,2266.12,0.2,2025-01-23,0.8,2025-02-10,8483854.73
36,KIT25071,STK003,3003.668,4601.55,0.2,2024-12-08,0.8,2025-01-09,13821528.49
37,DRX25072,STK003,1016.984,2531.53,0.15,2024-12-09,0.85,2024-12-24,2574525.51
38,LUB25073,STK006,2541.406,1673.95,0.3,2025-01-09,0.7,2025-01-15,4254186.57
39,KIT25074,STK001,2434.611,2396.88,0.15,2025-01-20,0.85,2025-02-02,5835470.41
40,AFR25075,STK004,2896.621,2826.95,0.2,2025-01-02,0.8,2025-01-11,8188602.74
41,LUB25076,STK005,4105.95,3826.34,0.2,2025-01-01,0.8,2025-01-11,15710760.72
42,DRX25077,STK002,4576.652,3216.81,0.1,2024-12-10,0.9,2024-12-23,14722219.92
43,DRX25081,STK003,4920.735,1518.01,0.2,2024-12-08,0.8,2025-01-05,7469724.94
44,BEI25086,STK004,4241.053,5704.07,0.3,2024-12-27,0.7,2025-01-11,24191263.19
45,KMC25089,STK002,912.711,5962.16,0.1,2025-01-30,0.9,2025-02-13,5441729.02
46,AFR25092,STK002,782.632,5996.19,0.15,2025-01-02,0.85,2025-01-08,4692810.17
47,BUL25093,STK005,4429.991,1498.75,0.2,2025-01-04,0.8,2025-01-13,6639449.01
48,KIT25095,STK003,2819.226,5684.09,0.2,2024-12-17,0.8,2024-12-29,16024734.31
49,KIT25096,STK006,4105.166,4788.55,0.3,2025-01-06,0.7,2025-01-20,19657792.65
50,ZAM25097,STK005,1735.499,7110.49,0.3,2025-01-17,0.7,2025-02-04,12340248.28
51,KMC25098,STK006,1190.472,3332.19,0.1,2025-01-31,0.9,2025-02-18,3966878.89
52,KIT25099,STK001,4983.643,3070.62,0.2,2025-01-25,0.8,2025-02-06,15302873.87
53,ZAM25101,STK006,1083.971,5060.04,0.3,2025-01-12,0.7,2025-01-27,5484936.62
54,ZAM25102,STK002,4241.259,4257.54,0.2,2024-12-11,0.8,2025-01-05,18057329.84
55,AFR25103,STK006,1270.403,4101.22,0.3,2024-12-16,0.7,2024-12-21,5210202.19
56,BEI25104,STK003,1838.452,1757.49,0.2,2024-12-26,0.8,2025-01-14,3231061.01
57,KIT25107,STK002,4850.09,2692.43,0.2,2025-02-03,0.8,2025-02-16,13058527.82
58,KMC25109,STK005,1395.76,4616.07,0.15,2024-12-25,0.85,2025-01-26,6442925.86
59,LUB25113,STK005,585.218,2551.26,0.2,2025-02-05,0.8,2025-02-24,1493043.27
60,KMC25116,STK005,689.299,7008.58,0.15,2024-12-27,0.85,2025-01-18,4831007.19
61,DRX25117,STK003,1986.321,3511.72,0.1,2024-12-16,0.9,2025-01-24,6975403.18
62,ZAM25120,STK001,3417.284,4962.15,0.1,2024-12-10,0.9,2024-12-21,16957075.8
63,KIT25121,STK002,1858.756,4994.81,0.2,2024-12-22,0.8,2024-12-31,9284133.06
64,AFR25122,STK005,3864.807,4901.69,0.1,2024-12-14,0.9,2024-12-20,18944085.82
65,AFR25125,STK002,828.633,3885.75,0.3,2024-12-04,0.7,2024-12-16,3219860.68
66,ZAM25128,STK002,1582.998,1527.42,0.1,2025-01-14,0.9,2025-02-03,2417902.81
67,AFR25129,STK005,1857.94,1927.46,0.2,2025-01-14,0.8,2025-01-26,3581105.03
68,LUB25130,STK004,2630.835,5295.43,0.15,2024-12-23,0.85,2025-01-03,13931402.58
69,DRX25132,STK003,4829.349,1699.7,0.2,2025-01-31,0.8,2025-02-14,8208444.5
70,BUL25133,STK002,2168.172,3218.34,0.3,2025-01-21,0.7,2025-01-31,6977914.67
71,KIT25134,STK001,1257.051,6593.38,0.1,2025-01-23,0.9,2025-02-08,8288214.92
72,KIT25136,STK002,2882.379,2341.35,0.2,2025-01-08,0.8,2025-01-16,6748658.07
73,LUB25137,STK001,3578.187,6216.66,0.15,2024-12-17,0.85,2025-01-11,22244372.0
74,ZAM25140,STK001,3546.657,3900.05,0.3,2025-01-09,0.7,2025-01-15,13832139.63
75,AFR25141,STK006,3558.627,5391.04,0.15,2025-02-05,0.85,2025-02-11,19184700.5
76,BUL25142,STK005,960.041,1679.42,0.2,2024-12-24,0.8,2024-12-25,1612312.06
77,AFR25144,STK001,4022.0,3722.98,0.2,2024-12-23,0.8,2025-01-07,14973825.56
78,BUL25146,STK006,4018.885,3274.77,0.1,2025-01-20,0.9,2025-02-04,13160924.03
79,LUB25150,STK003,3010.97,4825.29,0.1,2024-12-18,0.9,2025-01-02,14528803.43
80,ZAM25151,STK006,2642.731,3028.78,0.15,2024-12-20,0.85,2025-01-01,8004250.8
81,DRX25153,STK003,3885.465,6061.54,0.3,2025-01-20,0.7,2025-02-08,23551901.52
82,BUL25154,STK001,3278.132,4979.33,0.15,2024-12-13,0.85,2024-12-25,16322901.01
83,LUB25155,STK002,2997.107,4368.36,0.3,2024-12-16,0.7,2024-12-26,13092442.33
84,KIT25156,STK003,1814.405,2964.98,0.2,2024-12-11,0.8,2024-12-26,5379674.54
85,KIT25157,STK006,4436.644,1363.91,0.3,2025-01-25,0.7,2025-02-13,6051183.12
86,AFR25159,STK005,4401.714,1936.13,0.3,2025-01-22,0.7,2025-02-18,8522290.53
87,KMC25160,STK002,4776.143,3521.39,0.15,2024-12-22,0.85,2025-01-16,16818662.2
88,KIT25162,STK001,4469.665,2705.94,0.2,2024-12-07,0.8,2024-12-17,12094645.31
89,LUB25163,STK002,1517.859,4718.39,0.1,2025-01-01,0.9,2025-01-26,7161850.73
90,BEI25167,STK005,3407.764,6394.35,0.1,2025-01-05,0.9,2025-01-20,21790435.73
91,ZAM25168,STK004,575.102,1626.35,0.1,2025-01-19,0.9,2025-02-08,935317.14
92,ZAM25169,STK001,1970.376,3971.57,0.3,2025-01-29,0.7,2025-03-02,7825486.21
93,BEI25170,STK006,2733.858,3550.54,0.1,2025-01-18,0.9,2025-02-01,9706672.18
94,DRX25173,STK005,4114.02,4879.79,0.1,2024-12-12,0.9,2025-01-07,20075553.66
95,AFR25175,STK006,3922.17,2379.92,0.2,2025-01-08,0.8,2025-01-27,9334450.83
96,KMC25179,STK002,2112.294,6191.55,0.2,2024-12-23,0.8,2024-12-29,13078373.92
97,DRX25180,STK001,4784.435,6716.06,0.15,2024-12-22,0.85,2025-01-04,32132552.53
98,ZAM25183,STK004,3286.294,2206.09,0.15,2025-01-04,0.85,2025-01-15,7249860.33
99,BEI25184,STK005,2760.77,3971.05,0.15,2025-01-21,0.85,2025-01-29,10963155.71
100,ZAM25186,STK001,626.93,4235.41,0.15,2025-01-22,0.85,2025-02-08,2655305.59
101,BEI25187,STK001,3726.219,5974.94,0.3,2025-01-14,0.7,2025-01-25,22263934.95
102,KMC25191,STK002,551.28,2658.95,0.3,2025-01-30,0.7,2025-02-10,1465825.96
103,AFR25193,STK002,4738.254,5443.14,0.2,2024-12-27,0.8,2025-01-07,25790979.88
104,LUB25194,STK002,723.359,3641.38,0.15,2024-12-21,0.85,2025-01-02,2634025.0
105,BUL25196,STK004,3039.11,2226.66,0.3,2025-01-04,0.7,2025-01-28,6767064.67
106,KIT25197,STK002,3070.49,3429.2,0.3,2024-12-27,0.7,2025-01-17,10529324.31
107,KIT25201,STK003,2281.067,5535.89,0.3,2025-01-15,0.7,2025-01-27,12627735.99
108,AFR25209,STK003,4209.399,4015.14,0.2,2024-12-17,0.8,2024-12-30,16901326.3
109,KIT25211,STK003,4172.066,2563.53,0.15,2025-01-23,0.85,2025-02-07,10695216.35
110,ZAM25212,STK005,4046.407,2534.16,0.3,2024-12-20,0.7,2024-12-30,10254242.76
111,BEI25216,STK004,3620.861,3341.01,0.2,2024-12-05,0.8,2024-12-13,12097332.81
112,ZAM25218,STK004,718.641,5708.29,0.2,2025-01-14,0.8,2025-01-27,4102211.23
113,DRX25219,STK005,3302.59,4458.09,0.2,2025-01-17,0.8,2025-01-24,14723243.45
114,BUL25220,STK003,1987.716,1206.24,0.3,2025-01-08,0.7,2025-01-20,2397662.55
115,BEI25222,STK004,4453.14,1745.96,0.15,2025-01-28,0.85,2025-02-15,7775004.31
116,DRX25225,STK005,3477.71,2875.33,0.3,2025-01-16,0.7,2025-01-28,9999563.89
117,KIT25227,STK001,2315.478,1494.54,0.3,2025-01-04,0.7,2025-02-04,3460574.49
118,LUB25233,STK006,1121.81,4234.85,0.15,2024-12-28,0.85,2025-01-11,4750697.08
119,AFR25235,STK003,1399.561,6016.15,0.1,2024-12-30,0.9,2025-01-13,8419968.91
120,DRX25236,STK002,4669.182,3848.98,0.2,2025-01-07,0.8,2025-01-14,17971588.13
121,DRX25237,STK004,3807.858,1947.04,0.15,2025-01-14,0.85,2025-01-23,7414051.84
122,ZAM25239,STK001,2072.313,6505.92,0.3,2025-01-06,0.7,2025-02-09,13482302.59
123,DRX25240,STK003,2931.068,2731.01,0.1,2025-01-22,0.9,2025-02-13,8004776.02
124,LUB25242,STK004,829.616,1970.06,0.3,2025-01-21,0.7,2025-02-01,1634393.3
125,BEI25243,STK004,2109.651,3409.97,0.15,2025-01-19,0.85,2025-02-13,7193846.62
126,BEI25245,STK002,3867.335,5250.56,0.1,2025-01-10,0.9,2025-01-20,20305674.46
127,KMC25246,STK003,4781.93,3279.75,0.2,2024-12-19,0.8,2024-12-25,15683534.92
128,BUL25247,STK002,4280.495,1989.95,0.1,2024-12-19,0.9,2025-01-14,8517971.03
129,AFR25250,STK006,3482.053,6441.95,0.2,2024-12-27,0.8,2025-01-11,22431211.32
