deal_no,type,forecast_date,year_week,week_start,week_num,forecast_year,weekly_amount
AFR25103,Inflow,2024-12-12,202450,2024-12-09,50,2024,785565.5
AFR25103,Inflow,2025-01-18,202503,2025-01-13,3,2025,7070089.54
AFR25103,Outflow,2024-12-16,202451,2024-12-16,51,2024,-1563060.66
AFR25103,Outflow,2024-12-21,202451,2024-12-16,51,2024,-3647141.53
AFR25122,Inflow,2024-12-13,202450,2024-12-09,50,2024,7006557.01
AFR25122,Inflow,2025-02-05,202506,2025-02-03,6,2025,16348633.03
AFR25122,Outflow,2024-12-14,202450,2024-12-09,50,2024,-1894408.58
AFR25122,Outflow,2024-12-20,202451,2024-12-16,51,2024,-17049677.24
AFR25125,Inflow,2024-12-03,202449,2024-12-02,49,2024,387612.11
AFR25125,Inflow,2025-01-25,202504,2025-01-20,4,2025,3488509.03
AFR25125,Outflow,2024-12-04,202449,2024-12-02,49,2024,-965958.2
AFR25125,Outflow,2024-12-16,202451,2024-12-16,51,2024,-2253902.48
AFR25129,Inflow,2025-01-13,202503,2025-01-13,3,2025,956635.92
AFR25129,Inflow,2025-03-10,202511,2025-03-10,11,2025,3826543.66
AFR25129,Outflow,2025-01-14,202503,2025-01-13,3,2025,-716221.01
AFR25129,Outflow,2025-01-26,202504,2025-01-20,4,2025,-2864884.02
AFR25141,Inflow,2025-02-01,202505,2025-01-27,5,2025,3445661.44
AFR25141,Inflow,2025-03-25,202513,2025-03-24,13,2025,19525414.83
AFR25141,Outflow,2025-02-05,202506,2025-02-03,6,2025,-2877705.07
AFR25141,Outflow,2025-02-11,202507,2025-02-10,7,2025,-16306995.42
AFR25144,Inflow,2024-12-22,202451,2024-12-16,51,2024,5077899.65
AFR25144,Inflow,2025-01-28,202505,2025-01-27,5,2025,11848432.52
AFR25144,Outflow,2024-12-23,202452,2024-12-23,52,2024,-2994765.11
AFR25144,Outflow,2025-01-07,202502,2025-01-06,2,2025,-11979060.45
AFR25159,Inflow,2025-01-22,202504,2025-01-20,4,2025,2158302.42
AFR25159,Inflow,2025-03-10,202511,2025-03-10,11,2025,8633209.68
AFR25159,Outflow,2025-01-22,202504,2025-01-20,4,2025,-2556687.16
AFR25159,Outflow,2025-02-18,202508,2025-02-17,8,2025,-5965603.37
AFR25175,Inflow,2025-01-13,202503,2025-01-13,3,2025,1964096.18
AFR25175,Inflow,2025-02-08,202506,2025-02-03,6,2025,11129878.34
AFR25175,Outflow,2025-01-08,202502,2025-01-06,2,2025,-1866890.17
AFR25175,Outflow,2025-01-27,202505,2025-01-27,5,2025,-7467560.66
AFR25193,Inflow,2024-12-26,202452,2024-12-23,52,2024,12559183.97
AFR25193,Inflow,2025-02-25,202509,2025-02-24,9,2025,29304762.59
AFR25193,Outflow,2024-12-27,202452,2024-12-23,52,2024,-5158195.98
AFR25193,Outflow,2025-01-07,202502,2025-01-06,2,2025,-20632783.9
AFR25209,Inflow,2024-12-19,202451,2024-12-16,51,2024,3770479.69
AFR25209,Inflow,2025-01-13,202503,2025-01-13,3,2025,15081918.74
AFR25209,Outflow,2024-12-17,202451,2024-12-16,51,2024,-3380265.26
AFR25209,Outflow,2024-12-30,202501,2024-12-30,1,2025,-13521061.04
AFR25235,Inflow,2024-12-28,202452,2024-12-23,52,2024,1994762.67
AFR25235,Inflow,2025-01-20,202504,2025-01-20,4,2025,7979050.67
AFR25235,Outflow,2024-12-30,202501,2024-12-30,1,2025,-841996.89
AFR25235,Outflow,2025-01-13,202503,2025-01-13,3,2025,-7577972.02
AFR25250,Inflow,2024-12-29,202452,2024-12-23,52,2024,4105269.59
AFR25250,Inflow,2025-01-30,202505,2025-01-27,5,2025,23263194.33
AFR25250,Outflow,2024-12-27,202452,2024-12-23,52,2024,-4486242.26
AFR25250,Outflow,2025-01-11,202502,2025-01-06,2,2025,-17944969.06
BEI25015,Inflow,2025-01-31,202505,2025-01-27,5,2025,1520008.95
BEI25015,Inflow,2025-02-28,202509,2025-02-24,9,2025,8613384.08
BEI25015,Outflow,2025-01-27,202505,2025-01-27,5,2025,-1265851.71
BEI25015,Outflow,2025-02-07,202506,2025-02-03,6,2025,-5063406.85
BEI25021,Inflow,2024-12-13,202450,2024-12-09,50,2024,5093764.83
BEI25021,Inflow,2025-02-10,202507,2025-02-10,7,2025,28864667.36
BEI25021,Outflow,2024-12-11,202450,2024-12-09,50,2024,-4201560.75
BEI25021,Outflow,2024-12-28,202452,2024-12-23,52,2024,-23808844.25
BEI25086,Inflow,2024-12-26,202452,2024-12-23,52,2024,9266573.38
BEI25086,Inflow,2025-02-09,202506,2025-02-03,6,2025,21622004.56
BEI25086,Outflow,2024-12-27,202452,2024-12-23,52,2024,-7257378.96
BEI25086,Outflow,2025-01-11,202502,2025-01-06,2,2025,-16933884.23
BEI25104,Inflow,2024-12-28,202452,2024-12-23,52,2024,1129157.82
BEI25104,Inflow,2025-02-06,202506,2025-02-03,6,2025,2634701.58
BEI25104,Outflow,2024-12-26,202452,2024-12-23,52,2024,-646212.2
BEI25104,Outflow,2025-01-14,202503,2025-01-13,3,2025,-2584848.81
BEI25167,Inflow,2025-01-04,202501,2024-12-30,1,2025,7543268.23
BEI25167,Inflow,2025-02-12,202507,2025-02-10,7,2025,17600959.21
BEI25167,Outflow,2025-01-05,202501,2024-12-30,1,2025,-2179043.57
BEI25167,Outflow,2025-01-20,202504,2025-01-20,4,2025,-19611392.16
BEI25170,Inflow,2025-01-18,202503,2025-01-13,3,2025,2241921.44
BEI25170,Inflow,2025-03-04,202510,2025-03-03,10,2025,8967685.77
BEI25170,Outflow,2025-01-18,202503,2025-01-13,3,2025,-970667.22
BEI25170,Outflow,2025-02-01,202505,2025-01-27,5,2025,-8736004.96
BEI25184,Inflow,2025-01-21,202504,2025-01-20,4,2025,1827433.31
BEI25184,Inflow,2025-02-27,202509,2025-02-24,9,2025,10355455.43
BEI25184,Outflow,2025-01-21,202504,2025-01-20,4,2025,-1644473.36
BEI25184,Outflow,2025-01-29,202505,2025-01-27,5,2025,-9318682.35
BEI25187,Inflow,2025-01-12,202502,2025-01-06,2,2025,3126616.96
BEI25187,Inflow,2025-02-20,202508,2025-02-17,8,2025,28139552.65
BEI25187,Outflow,2025-01-14,202503,2025-01-13,3,2025,-6679180.48
BEI25187,Outflow,2025-01-25,202504,2025-01-20,4,2025,-15584754.46
BEI25216,Inflow,2024-12-04,202449,2024-12-02,49,2024,2956522.6
BEI25216,Inflow,2025-01-04,202501,2024-12-30,1,2025,11826090.38
BEI25216,Outflow,2024-12-05,202449,2024-12-02,49,2024,-2419466.56
BEI25216,Outflow,2024-12-13,202450,2024-12-09,50,2024,-9677866.25
BEI25222,Inflow,2025-02-03,202506,2025-02-03,6,2025,2935244.69
BEI25222,Inflow,2025-04-06,202514,2025-03-31,14,2025,6848904.29
BEI25222,Outflow,2025-01-28,202505,2025-01-27,5,2025,-1166250.65
BEI25222,Outflow,2025-02-15,202507,2025-02-10,7,2025,-6608753.66
BEI25243,Inflow,2025-01-22,202504,2025-01-20,4,2025,1112055.31
BEI25243,Inflow,2025-02-27,202509,2025-02-24,9,2025,10008497.78
BEI25243,Outflow,2025-01-19,202503,2025-01-13,3,2025,-1079076.99
BEI25243,Outflow,2025-02-13,202507,2025-02-10,7,2025,-6114769.63
BEI25245,Inflow,2025-01-08,202502,2025-01-06,2,2025,4801256.02
BEI25245,Inflow,2025-02-20,202508,2025-02-17,8,2025,27207117.43
BEI25245,Outflow,2025-01-10,202502,2025-01-06,2,2025,-2030567.45
BEI25245,Outflow,2025-01-20,202504,2025-01-20,4,2025,-18275107.01
BUL25007,Inflow,2024-12-04,202449,2024-12-02,49,2024,3127906.03
BUL25007,Inflow,2025-01-02,202501,2024-12-30,1,2025,17724800.86
BUL25007,Outflow,2024-12-02,202449,2024-12-02,49,2024,-1453949.98
BUL25007,Outflow,2024-12-17,202451,2024-12-16,51,2024,-13085549.78
BUL25016,Inflow,2025-01-13,202503,2025-01-13,3,2025,3986923.52
BUL25016,Inflow,2025-03-01,202509,2025-02-24,9,2025,35882311.65
BUL25016,Outflow,2025-01-13,202503,2025-01-13,3,2025,-3508405.13
BUL25016,Outflow,2025-01-29,202505,2025-01-27,5,2025,-31575646.14
BUL25066,Inflow,2024-12-24,202452,2024-12-23,52,2024,282044.32
BUL25066,Inflow,2025-01-27,202505,2025-01-27,5,2025,2538398.84
BUL25066,Outflow,2024-12-23,202452,2024-12-23,52,2024,-359159.49
BUL25066,Outflow,2025-01-02,202501,2024-12-30,1,2025,-2035237.1
BUL25093,Inflow,2025-01-08,202502,2025-01-06,2,2025,809141.57
BUL25093,Inflow,2025-02-03,202506,2025-02-03,6,2025,7282274.13
BUL25093,Outflow,2025-01-04,202501,2024-12-30,1,2025,-1327889.8
BUL25093,Outflow,2025-01-13,202503,2025-01-13,3,2025,-5311559.21
BUL25133,Inflow,2025-01-17,202503,2025-01-13,3,2025,1497494.58
BUL25133,Inflow,2025-02-25,202509,2025-02-24,9,2025,8485802.64
BUL25133,Outflow,2025-01-21,202504,2025-01-20,4,2025,-2093374.4
BUL25133,Outflow,2025-01-31,202505,2025-01-27,5,2025,-4884540.27
BUL25142,Inflow,2024-12-22,202451,2024-12-16,51,2024,620588.76
BUL25142,Inflow,2025-01-09,202502,2025-01-06,2,2025,1448040.44
BUL25142,Outflow,2024-12-24,202452,2024-12-23,52,2024,-322462.41
BUL25142,Outflow,2024-12-25,202452,2024-12-23,52,2024,-1289849.65
BUL25146,Inflow,2025-01-16,202503,2025-01-13,3,2025,3170214.2
BUL25146,Inflow,2025-02-27,202509,2025-02-24,9,2025,12680856.81
BUL25146,Outflow,2025-01-20,202504,2025-01-20,4,2025,-1316092.4
BUL25146,Outflow,2025-02-04,202506,2025-02-03,6,2025,-11844831.63
BUL25154,Inflow,2024-12-11,202450,2024-12-09,50,2024,2492375.9
BUL25154,Inflow,2025-01-16,202503,2025-01-13,3,2025,22431383.12
BUL25154,Outflow,2024-12-13,202450,2024-12-09,50,2024,-2448435.15
BUL25154,Outflow,2024-12-25,202452,2024-12-23,52,2024,-13874465.86
BUL25196,Inflow,2025-01-06,202502,2025-01-06,2,2025,1600686.93
BUL25196,Inflow,2025-02-10,202507,2025-02-10,7,2025,6402747.72
BUL25196,Outflow,2025-01-04,202501,2024-12-30,1,2025,-2030119.4
BUL25196,Outflow,2025-01-28,202505,2025-01-27,5,2025,-4736945.27
BUL25220,Inflow,2025-01-08,202502,2025-01-06,2,2025,906717.64
BUL25220,Inflow,2025-02-06,202506,2025-02-03,6,2025,2115674.5
BUL25220,Outflow,2025-01-08,202502,2025-01-06,2,2025,-719298.76
BUL25220,Outflow,2025-01-20,202504,2025-01-20,4,2025,-1678363.78
BUL25247,Inflow,2024-12-24,202452,2024-12-23,52,2024,3219737.7
BUL25247,Inflow,2025-01-25,202504,2025-01-20,4,2025,7512721.29
BUL25247,Outflow,2024-12-19,202451,2024-12-16,51,2024,-851797.1
BUL25247,Outflow,2025-01-14,202503,2025-01-13,3,2025,-7666173.93
DRX25011,Inflow,2025-01-14,202503,2025-01-13,3,2025,10906167.69
DRX25011,Inflow,2025-03-19,202512,2025-03-17,12,2025,25447724.61
DRX25011,Outflow,2025-01-12,202502,2025-01-06,2,2025,-9110853.73
DRX25011,Outflow,2025-01-26,202504,2025-01-20,4,2025,-21258658.71
DRX25030,Inflow,2025-01-06,202502,2025-01-06,2,2025,1878077.66
DRX25030,Inflow,2025-02-12,202507,2025-02-10,7,2025,16902698.96
DRX25030,Outflow,2025-01-04,202501,2024-12-30,1,2025,-4823092.85
DRX25030,Outflow,2025-01-21,202504,2025-01-20,4,2025,-11253883.32
DRX25031,Inflow,2024-12-09,202450,2024-12-09,50,2024,2933302.16
DRX25031,Inflow,2025-01-29,202505,2025-01-27,5,2025,26399719.4
DRX25031,Outflow,2024-12-03,202449,2024-12-02,49,2024,-3784201.16
DRX25031,Outflow,2024-12-23,202452,2024-12-23,52,2024,-21443806.6
DRX25037,Inflow,2025-01-04,202501,2024-12-30,1,2025,2097275.81
DRX25037,Inflow,2025-02-20,202508,2025-02-17,8,2025,8389103.26
DRX25037,Outflow,2024-12-31,202501,2024-12-30,1,2025,-948565.23
DRX25037,Outflow,2025-01-15,202503,2025-01-13,3,2025,-5375202.98
DRX25039,Inflow,2025-01-10,202502,2025-01-06,2,2025,5610851.5
DRX25039,Inflow,2025-02-14,202507,2025-02-10,7,2025,22443406.0
DRX25039,Outflow,2025-01-07,202502,2025-01-06,2,2025,-2675813.34
DRX25039,Outflow,2025-01-19,202503,2025-01-13,3,2025,-15162942.24
DRX25046,Inflow,2024-12-18,202451,2024-12-16,51,2024,1144060.77
DRX25046,Inflow,2025-02-07,202506,2025-02-03,6,2025,4576243.08
DRX25046,Outflow,2024-12-15,202450,2024-12-09,50,2024,-824585.02
DRX25046,Outflow,2025-01-08,202502,2025-01-06,2,2025,-3298340.09
DRX25067,Inflow,2025-01-30,202505,2025-01-27,5,2025,457245.22
DRX25067,Inflow,2025-03-02,202509,2025-02-24,9,2025,4115207.02
DRX25067,Outflow,2025-01-29,202505,2025-01-27,5,2025,-844605.02
DRX25067,Outflow,2025-02-08,202506,2025-02-03,6,2025,-1970745.05
DRX25072,Inflow,2024-12-12,202450,2024-12-09,50,2024,365022.13
DRX25072,Inflow,2025-01-15,202503,2025-01-13,3,2025,3285199.16
DRX25072,Outflow,2024-12-09,202450,2024-12-09,50,2024,-386178.83
DRX25072,Outflow,2024-12-24,202452,2024-12-23,52,2024,-2188346.68
DRX25077,Inflow,2024-12-12,202450,2024-12-09,50,2024,2828587.01
DRX25077,Inflow,2025-01-08,202502,2025-01-06,2,2025,16028659.75
DRX25077,Outflow,2024-12-10,202450,2024-12-09,50,2024,-1472221.99
DRX25077,Outflow,2024-12-23,202452,2024-12-23,52,2024,-13249997.93
DRX25081,Inflow,2024-12-12,202450,2024-12-09,50,2024,3147993.77
DRX25081,Inflow,2025-02-01,202505,2025-01-27,5,2025,7345318.81
DRX25081,Outflow,2024-12-08,202449,2024-12-02,49,2024,-1493944.99
DRX25081,Outflow,2025-01-05,202501,2024-12-30,1,2025,-5975779.95
DRX25117,Inflow,2024-12-22,202451,2024-12-16,51,2024,1502561.48
DRX25117,Inflow,2025-02-10,202507,2025-02-10,7,2025,8514515.07
DRX25117,Outflow,2024-12-16,202451,2024-12-16,51,2024,-697540.32
DRX25117,Outflow,2025-01-24,202504,2025-01-20,4,2025,-6277862.86
DRX25132,Inflow,2025-02-01,202505,2025-01-27,5,2025,1723984.5
DRX25132,Inflow,2025-03-19,202512,2025-03-17,12,2025,9769245.53
DRX25132,Outflow,2025-01-31,202505,2025-01-27,5,2025,-1641688.9
DRX25132,Outflow,2025-02-14,202507,2025-02-10,7,2025,-6566755.6
DRX25153,Inflow,2025-01-21,202504,2025-01-20,4,2025,4409307.02
DRX25153,Inflow,2025-02-19,202508,2025-02-17,8,2025,24986073.09
DRX25153,Outflow,2025-01-20,202504,2025-01-20,4,2025,-7065570.46
DRX25153,Outflow,2025-02-08,202506,2025-02-03,6,2025,-16486331.06
DRX25173,Inflow,2024-12-17,202451,2024-12-16,51,2024,4230337.02
DRX25173,Inflow,2025-01-22,202504,2025-01-20,4,2025,23971909.79
DRX25173,Outflow,2024-12-12,202450,2024-12-09,50,2024,-2007555.37
DRX25173,Outflow,2025-01-07,202502,2025-01-06,2,2025,-18067998.29
DRX25180,Inflow,2024-12-28,202452,2024-12-23,52,2024,3784253.33
DRX25180,Inflow,2025-01-14,202503,2025-01-13,3,2025,34058279.99
DRX25180,Outflow,2024-12-22,202451,2024-12-16,51,2024,-4819882.88
DRX25180,Outflow,2025-01-04,202501,2024-12-30,1,2025,-27312669.65
DRX25219,Inflow,2025-01-17,202503,2025-01-13,3,2025,2231047.36
DRX25219,Inflow,2025-02-15,202507,2025-02-10,7,2025,20079426.29
DRX25219,Outflow,2025-01-17,202503,2025-01-13,3,2025,-2944648.69
DRX25219,Outflow,2025-01-24,202504,2025-01-20,4,2025,-11778594.76
DRX25225,Inflow,2025-01-17,202503,2025-01-13,3,2025,3510046.26
DRX25225,Inflow,2025-02-13,202507,2025-02-10,7,2025,8190107.93
DRX25225,Outflow,2025-01-16,202503,2025-01-13,3,2025,-2999869.17
DRX25225,Outflow,2025-01-28,202505,2025-01-27,5,2025,-6999694.72
DRX25236,Inflow,2025-01-03,202501,2024-12-30,1,2025,4115099.08
DRX25236,Inflow,2025-02-24,202509,2025-02-24,9,2025,16460396.3
DRX25236,Outflow,2025-01-07,202502,2025-01-06,2,2025,-3594317.63
DRX25236,Outflow,2025-01-14,202503,2025-01-13,3,2025,-14377270.5
DRX25237,Inflow,2025-01-16,202503,2025-01-13,3,2025,1824080.8
DRX25237,Inflow,2025-02-20,202508,2025-02-17,8,2025,7296323.19
DRX25237,Outflow,2025-01-14,202503,2025-01-13,3,2025,-1112107.78
DRX25237,Outflow,2025-01-23,202504,2025-01-20,4,2025,-6301944.06
DRX25240,Inflow,2025-01-28,202505,2025-01-27,5,2025,2122806.86
DRX25240,Inflow,2025-02-27,202509,2025-02-24,9,2025,8491227.42
DRX25240,Outflow,2025-01-22,202504,2025-01-20,4,2025,-800477.6
DRX25240,Outflow,2025-02-13,202507,2025-02-10,7,2025,-7204298.42
KIT25005,Inflow,2024-12-12,202450,2024-12-09,50,2024,1484930.51
KIT25005,Inflow,2025-01-16,202503,2025-01-13,3,2025,8414606.2
KIT25005,Outflow,2024-12-15,202450,2024-12-09,50,2024,-959045.65
KIT25005,Outflow,2025-01-05,202501,2024-12-30,1,2025,-5434592.0
KIT25023,Inflow,2025-01-28,202505,2025-01-27,5,2025,3115149.46
KIT25023,Inflow,2025-03-26,202513,2025-03-24,13,2025,12460597.86
KIT25023,Outflow,2025-01-24,202504,2025-01-20,4,2025,-1976881.42
KIT25023,Outflow,2025-02-28,202509,2025-02-24,9,2025,-7907525.69
KIT25026,Inflow,2025-02-01,202505,2025-01-27,5,2025,1726989.53
KIT25026,Inflow,2025-02-23,202508,2025-02-17,8,2025,9786274.0
KIT25026,Outflow,2025-02-01,202505,2025-01-27,5,2025,-2326094.29
KIT25026,Outflow,2025-02-08,202506,2025-02-03,6,2025,-5427553.35
KIT25027,Inflow,2025-01-21,202504,2025-01-20,4,2025,1025940.57
KIT25027,Inflow,2025-03-22,202512,2025-03-17,12,2025,9233465.12
KIT25027,Outflow,2025-01-18,202503,2025-01-13,3,2025,-787124.34
KIT25027,Outflow,2025-01-29,202505,2025-01-27,5,2025,-7084119.05
KIT25029,Inflow,2025-01-23,202504,2025-01-20,4,2025,1324665.55
KIT25029,Inflow,2025-02-26,202509,2025-02-24,9,2025,7506438.13
KIT25029,Outflow,2025-01-24,202504,2025-01-20,4,2025,-1709476.78
KIT25029,Outflow,2025-02-04,202506,2025-02-03,6,2025,-3988779.16
KIT25044,Inflow,2025-01-13,202503,2025-01-13,3,2025,2185610.8
KIT25044,Inflow,2025-01-30,202505,2025-01-27,5,2025,12385127.89
KIT25044,Outflow,2025-01-12,202502,2025-01-06,2,2025,-3213504.21
KIT25044,Outflow,2025-01-18,202503,2025-01-13,3,2025,-7498176.5
KIT25047,Inflow,2025-01-02,202501,2024-12-30,1,2025,355416.38
KIT25047,Inflow,2025-02-24,202509,2025-02-24,9,2025,3198747.38
KIT25047,Outflow,2024-12-30,202501,2024-12-30,1,2025,-565435.39
KIT25047,Outflow,2025-01-18,202503,2025-01-13,3,2025,-2261741.54
KIT25049,Inflow,2025-01-11,202502,2025-01-06,2,2025,2387034.12
KIT25049,Inflow,2025-02-16,202507,2025-02-10,7,2025,5569746.28
KIT25049,Outflow,2025-01-10,202502,2025-01-06,2,2025,-1826680.97
KIT25049,Outflow,2025-01-17,202503,2025-01-13,3,2025,-4262255.59
KIT25071,Inflow,2024-12-14,202450,2024-12-09,50,2024,1771710.19
KIT25071,Inflow,2025-01-23,202504,2025-01-20,4,2025,15945391.67
KIT25071,Outflow,2024-12-08,202449,2024-12-02,49,2024,-2764305.7
KIT25071,Outflow,2025-01-09,202502,2025-01-06,2,2025,-11057222.79
KIT25074,Inflow,2025-01-19,202503,2025-01-13,3,2025,1764776.01
KIT25074,Inflow,2025-02-23,202508,2025-02-17,8,2025,7059104.05
KIT25074,Outflow,2025-01-20,202504,2025-01-20,4,2025,-875320.56
KIT25074,Outflow,2025-02-02,202505,2025-01-27,5,2025,-4960149.85
KIT25095,Inflow,2024-12-18,202451,2024-12-16,51,2024,3771456.55
KIT25095,Inflow,2025-01-28,202505,2025-01-27,5,2025,21371587.1
KIT25095,Outflow,2024-12-17,202451,2024-12-16,51,2024,-3204946.86
KIT25095,Outflow,2024-12-29,202452,2024-12-23,52,2024,-12819787.45
KIT25096,Inflow,2025-01-06,202502,2025-01-06,2,2025,4281550.98
KIT25096,Inflow,2025-02-09,202506,2025-02-03,6,2025,24262122.24
KIT25096,Outflow,2025-01-06,202502,2025-01-06,2,2025,-5897337.79
KIT25096,Outflow,2025-01-20,202504,2025-01-20,4,2025,-13760454.85
KIT25099,Inflow,2025-01-22,202504,2025-01-20,4,2025,1814956.36
KIT25099,Inflow,2025-03-21,202512,2025-03-17,12,2025,16334607.21
KIT25099,Outflow,2025-01-25,202504,2025-01-20,4,2025,-3060574.77
KIT25099,Outflow,2025-02-06,202506,2025-02-03,6,2025,-12242299.1
KIT25107,Inflow,2025-02-07,202506,2025-02-03,6,2025,4530347.43
KIT25107,Inflow,2025-03-25,202513,2025-03-24,13,2025,10570810.66
KIT25107,Outflow,2025-02-03,202506,2025-02-03,6,2025,-2611705.56
KIT25107,Outflow,2025-02-16,202507,2025-02-10,7,2025,-10446822.26
KIT25121,Inflow,2024-12-17,202451,2024-12-16,51,2024,1929840.41
KIT25121,Inflow,2025-01-31,202505,2025-01-27,5,2025,10935762.3
KIT25121,Outflow,2024-12-22,202451,2024-12-16,51,2024,-1856826.61
KIT25121,Outflow,2024-12-31,202501,2024-12-30,1,2025,-7427306.45
KIT25134,Inflow,2025-01-25,202504,2025-01-20,4,2025,2814154.58
KIT25134,Inflow,2025-02-22,202508,2025-02-17,8,2025,6566360.7
KIT25134,Outflow,2025-01-23,202504,2025-01-20,4,2025,-828821.49
KIT25134,Outflow,2025-02-08,202506,2025-02-03,6,2025,-7459393.43
KIT25136,Inflow,2025-01-08,202502,2025-01-06,2,2025,3078861.58
KIT25136,Inflow,2025-02-07,202506,2025-02-03,6,2025,7184010.36
KIT25136,Outflow,2025-01-08,202502,2025-01-06,2,2025,-1349731.61
KIT25136,Outflow,2025-01-16,202503,2025-01-13,3,2025,-5398926.46
KIT25156,Inflow,2024-12-14,202450,2024-12-09,50,2024,1938544.46
KIT25156,Inflow,2025-01-19,202503,2025-01-13,3,2025,4523270.41
KIT25156,Outflow,2024-12-11,202450,2024-12-09,50,2024,-1075934.91
KIT25156,Outflow,2024-12-26,202452,2024-12-23,52,2024,-4303739.63
KIT25157,Inflow,2025-01-31,202505,2025-01-27,5,2025,772742.75
KIT25157,Inflow,2025-03-08,202510,2025-03-03,10,2025,6954684.72
KIT25157,Outflow,2025-01-25,202504,2025-01-20,4,2025,-1815354.94
KIT25157,Outflow,2025-02-13,202507,2025-02-10,7,2025,-4235828.18
KIT25162,Inflow,2024-12-07,202449,2024-12-02,49,2024,1682377.99
KIT25162,Inflow,2025-01-05,202501,2024-12-30,1,2025,15141401.87
KIT25162,Outflow,2024-12-07,202449,2024-12-02,49,2024,-2418929.06
KIT25162,Outflow,2024-12-17,202451,2024-12-16,51,2024,-9675716.25
KIT25197,Inflow,2024-12-28,202452,2024-12-23,52,2024,2476103.0
KIT25197,Inflow,2025-01-29,202505,2025-01-27,5,2025,14031250.3
KIT25197,Outflow,2024-12-27,202452,2024-12-23,52,2024,-3158797.29
KIT25197,Outflow,2025-01-17,202503,2025-01-13,3,2025,-7370527.02
KIT25201,Inflow,2025-01-14,202503,2025-01-13,3,2025,5537643.8
KIT25201,Inflow,2025-02-18,202508,2025-02-17,8,2025,12921168.88
KIT25201,Outflow,2025-01-15,202503,2025-01-13,3,2025,-3788320.8
KIT25201,Outflow,2025-01-27,202505,2025-01-27,5,2025,-8839415.19
KIT25211,Inflow,2025-01-23,202504,2025-01-20,4,2025,5098789.94
KIT25211,Inflow,2025-03-01,202509,2025-02-24,9,2025,11897176.54
KIT25211,Outflow,2025-01-23,202504,2025-01-20,4,2025,-1604282.45
KIT25211,Outflow,2025-02-07,202506,2025-02-03,6,2025,-9090933.9
KIT25227,Inflow,2025-01-05,202501,2024-12-30,1,2025,819095.64
KIT25227,Inflow,2025-02-28,202509,2025-02-24,9,2025,3276382.57
KIT25227,Outflow,2025-01-04,202501,2024-12-30,1,2025,-1038172.35
KIT25227,Outflow,2025-02-04,202506,2025-02-03,6,2025,-2422402.14
KMC25004,Inflow,2024-12-17,202451,2024-12-16,51,2024,2894672.48
KMC25004,Inflow,2025-02-05,202506,2025-02-03,6,2025,11578689.93
KMC25004,Outflow,2024-12-18,202451,2024-12-16,51,2024,-1794282.08
KMC25004,Outflow,2024-12-28,202452,2024-12-23,52,2024,-7177128.33
KMC25012,Inflow,2025-01-03,202501,2024-12-30,1,2025,806944.03
KMC25012,Inflow,2025-03-09,202510,2025-03-03,10,2025,4572682.81
KMC25012,Outflow,2024-12-31,202501,2024-12-30,1,2025,-551597.81
KMC25012,Outflow,2025-01-28,202505,2025-01-27,5,2025,-3125720.93
KMC25025,Inflow,2025-01-01,202501,2024-12-30,1,2025,1320192.8
KMC25025,Inflow,2025-02-05,202506,2025-02-03,6,2025,7481092.54
KMC25025,Outflow,2024-12-31,202501,2024-12-30,1,2025,-1283170.01
KMC25025,Outflow,2025-01-13,202503,2025-01-13,3,2025,-5132680.05
KMC25035,Inflow,2025-01-21,202504,2025-01-20,4,2025,4690979.76
